"dep","dur","mem","temp","prec","rushhour","rushhour_combined","time","doy","hour","weekday_dummy","month","dur_min_bin","weekend","dur_boxcox"
2021-08-11 22:20:25,84,"Member",27,1,"NonPeak","Non-Rush Hour","22:20:25","08-12","22",1,"Aug",1,"0",5.58841011240994
2021-08-04 10:52:21,1204,"Member",21.1,1,"NonPeak","Non-Rush Hour","10:52:21","08-04","10",1,"Aug",20,"0",10.3679389385141
2021-08-18 20:46:12,439,"Member",25.4,0,"NonPeak","Non-Rush Hour","20:46:12","08-19","20",1,"Aug",7,"0",8.40420211852912
2021-08-11 17:47:38,340,"Member",27,1,"PM","Rush Hour","17:47:38","08-11","17",1,"Aug",5,"0",7.93775257998169
2021-08-04 16:11:32,524,"Member",21.1,1,"PM","Rush Hour","16:11:32","08-04","16",1,"Aug",8,"0",8.73438750960277
2021-08-25 16:15:14,213,"Member",26.6,0,"PM","Rush Hour","16:15:14","08-25","16",1,"Aug",3,"0",7.11472967447429
2021-08-04 17:37:49,832,"Member",21.1,1,"PM","Rush Hour","17:37:49","08-04","17",1,"Aug",13,"0",9.62527443433879
2021-08-18 15:25:57,761,"Member",25.4,0,"PM","Rush Hour","15:25:57","08-18","15",1,"Aug",12,"0",9.45014170651607
2021-09-29 09:10:55,71,"Member",11.2,0,"AM","Rush Hour","09:10:55","09-29","09",1,"Sep",1,"0",5.32758342204236
2021-09-29 08:51:51,3441,"Member",11.2,0,"AM","Rush Hour","08:51:51","09-29","08",1,"Sep",57,"0",12.6359603885886
2021-09-22 07:41:40,1742,"Member",20.8,1,"AM","Rush Hour","07:41:40","09-22","07",1,"Sep",29,"0",11.1384526885791
2021-09-22 08:35:45,180,"Member",20.8,1,"AM","Rush Hour","08:35:45","09-22","08",1,"Sep",3,"0",6.82786435426402
2021-09-29 07:34:43,1400,"Member",11.2,0,"AM","Rush Hour","07:34:43","09-29","07",1,"Sep",23,"0",10.6790776214875
2021-09-01 10:41:01,471,"Member",18,0,"NonPeak","Non-Rush Hour","10:41:01","09-01","10",1,"Sep",7,"0",8.53475229488063
2021-09-22 13:37:51,886,"Member",20.8,1,"NonPeak","Non-Rush Hour","13:37:51","09-22","13",1,"Sep",14,"0",9.74969313881672
2021-09-15 12:25:55,1094,"Member",17.6,1,"NonPeak","Non-Rush Hour","12:25:55","09-15","12",1,"Sep",18,"0",10.1727391679265
2021-09-22 19:32:39,749,"Member",20.8,1,"NonPeak","Non-Rush Hour","19:32:39","09-22","19",1,"Sep",12,"0",9.41910012705657
2021-09-01 19:10:13,81,"Member",18,0,"NonPeak","Non-Rush Hour","19:10:13","09-01","19",1,"Sep",1,"0",5.53161782406622
2021-09-15 17:51:50,550,"Member",17.6,1,"PM","Rush Hour","17:51:50","09-15","17",1,"Sep",9,"0",8.82576231750244
2021-09-15 18:47:30,483,"Member",17.6,1,"PM","Rush Hour","18:47:30","09-15","18",1,"Sep",8,"0",8.58165952965879
2021-09-15 18:55:25,995,"Member",17.6,1,"PM","Rush Hour","18:55:25","09-15","18",1,"Sep",16,"0",9.98133791015842
2021-09-01 17:38:06,326,"Member",18,0,"PM","Rush Hour","17:38:06","09-01","17",1,"Sep",5,"0",7.86215101904829
2021-09-08 15:58:48,162,"Member",18.6,1,"PM","Rush Hour","15:58:48","09-08","15",1,"Sep",2,"0",6.65078242037183
2021-10-06 09:06:44,856,"Member",14.3,0,"AM","Rush Hour","09:06:44","10-06","09",1,"Oct",14,"0",9.6814417829085
2021-10-06 08:12:36,1388,"Member",14.3,0,"AM","Rush Hour","08:12:36","10-06","08",1,"Oct",23,"0",10.6611912164179
2021-10-13 09:56:40,878,"Member",16.7,0,"AM","Rush Hour","09:56:40","10-13","09",1,"Oct",14,"0",9.73169838031005
2021-10-27 08:22:32,918,"Member",9.6,0,"AM","Rush Hour","08:22:32","10-27","08",1,"Oct",15,"0",9.82024168000955
2021-10-06 09:54:13,90,"Member",14.3,0,"AM","Rush Hour","09:54:13","10-06","09",1,"Oct",1,"0",5.69672547021637
2021-10-13 13:56:16,827,"Member",16.7,0,"NonPeak","Non-Rush Hour","13:56:16","10-13","13",1,"Oct",13,"0",9.61338983144994
2021-10-20 21:41:23,708,"Member",11.8,0,"NonPeak","Non-Rush Hour","21:41:23","10-21","21",1,"Oct",11,"0",9.30955666016196
2021-10-13 11:41:26,720,"Member",16.7,0,"NonPeak","Non-Rush Hour","11:41:26","10-13","11",1,"Oct",12,"0",9.34219620585249
2021-10-13 14:42:50,378,"Member",16.7,0,"NonPeak","Non-Rush Hour","14:42:50","10-13","14",1,"Oct",6,"0",8.129675140354
2021-10-13 12:50:11,293,"Member",16.7,0,"NonPeak","Non-Rush Hour","12:50:11","10-13","12",1,"Oct",4,"0",7.6716984673946
2021-10-20 17:08:51,1728,"Member",11.8,0,"PM","Rush Hour","17:08:51","10-20","17",1,"Oct",28,"0",11.121311831428
2021-10-20 17:31:10,779,"Member",11.8,0,"PM","Rush Hour","17:31:10","10-20","17",1,"Oct",12,"0",9.49588878689807
2021-10-20 15:57:16,813,"Member",11.8,0,"PM","Rush Hour","15:57:16","10-20","15",1,"Oct",13,"0",9.57976595199374
2021-10-06 16:38:23,1069,"Member",14.3,0,"PM","Rush Hour","16:38:23","10-06","16",1,"Oct",17,"0",10.1259228429824
2021-10-13 16:38:20,400,"Member",16.7,0,"PM","Rush Hour","16:38:20","10-13","16",1,"Oct",6,"0",8.23299480617412
