"dep","dur","mem","temp","prec","rushhour","rushhour_combined","time","doy","hour","weekday_dummy","month","dur_min_bin","weekend","dur_boxcox"
2021-10-28 05:51:27,935,"Member",7.9,0,"NonPeak","Non-Rush Hour","05:51:27","10-28","05",1,"Oct",15,"0",9.85682602254089
2021-10-07 21:07:39,703,"Member",14.4,0,"NonPeak","Non-Rush Hour","21:07:39","10-08","21",1,"Oct",11,"0",9.29580986347905
2021-10-07 03:02:47,2873,"Member",14.4,0,"NonPeak","Non-Rush Hour","03:02:47","10-07","03",1,"Oct",47,"0",12.2290120616154
2021-10-07 20:20:48,267,"Member",14.4,0,"NonPeak","Non-Rush Hour","20:20:48","10-08","20",1,"Oct",4,"0",7.50753761172158
2021-10-21 18:32:32,863,"Member",11.7,1,"PM","Rush Hour","18:32:32","10-21","18",1,"Oct",14,"0",9.69755724195713
2021-10-14 15:48:56,964,"Member",18.3,0,"PM","Rush Hour","15:48:56","10-14","15",1,"Oct",16,"0",9.917876479192
2021-10-07 16:24:53,112,"Member",14.4,0,"PM","Rush Hour","16:24:53","10-07","16",1,"Oct",1,"0",6.04508776605134
2021-10-28 17:52:23,944,"Member",7.9,0,"PM","Rush Hour","17:52:23","10-28","17",1,"Oct",15,"0",9.87595277179548
2021-10-21 18:11:07,425,"Member",11.7,1,"PM","Rush Hour","18:11:07","10-21","18",1,"Oct",7,"0",8.34437649740008
2021-05-25 08:28:15,121,"Member",19.7,1,"AM","Rush Hour","08:28:15","05-25","08",1,"May",2,"0",6.17006210785998
2021-05-18 08:53:51,440,"Member",20,0,"AM","Rush Hour","08:53:51","05-18","08",1,"May",7,"0",8.40840945092058
2021-05-04 08:01:40,143,"Member",11.7,0,"AM","Rush Hour","08:01:40","05-04","08",1,"May",2,"0",6.44353153905387
2021-05-25 09:48:01,1708,"Member",19.7,1,"AM","Rush Hour","09:48:01","05-25","09",1,"May",28,"0",11.096607048687
2021-05-25 06:53:40,1277,"Member",19.7,1,"AM","Rush Hour","06:53:40","05-25","06",1,"May",21,"0",10.4888086910115
2021-05-18 20:54:40,1064,"Member",20,0,"NonPeak","Non-Rush Hour","20:54:40","05-19","20",1,"May",17,"0",10.1164416179199
2021-05-18 13:18:25,418,"Member",20,0,"NonPeak","Non-Rush Hour","13:18:25","05-18","13",1,"May",6,"0",8.31379631650558
2021-05-18 19:44:31,436,"Member",20,0,"NonPeak","Non-Rush Hour","19:44:31","05-18","19",1,"May",7,"0",8.39152822336883
2021-05-18 12:53:35,327,"Member",20,0,"NonPeak","Non-Rush Hour","12:53:35","05-18","12",1,"May",5,"0",7.86764699341733
2021-05-18 19:44:26,1979,"Member",20,0,"NonPeak","Non-Rush Hour","19:44:26","05-18","19",1,"May",32,"0",11.411279122275
2021-05-04 16:36:01,634,"Member",11.7,0,"PM","Rush Hour","16:36:01","05-04","16",1,"May",10,"0",9.09654031211809
2021-05-18 15:33:34,905,"Member",20,0,"PM","Rush Hour","15:33:34","05-18","15",1,"May",15,"0",9.79185214470741
2021-05-04 17:37:33,751,"Member",11.7,0,"PM","Rush Hour","17:37:33","05-04","17",1,"May",12,"0",9.4243046290663
2021-05-25 16:17:44,495,"Member",19.7,1,"PM","Rush Hour","16:17:44","05-25","16",1,"May",8,"0",8.62753054478104
2021-05-04 17:26:34,455,"Member",11.7,0,"PM","Rush Hour","17:26:34","05-04","17",1,"May",7,"0",8.47050919431494
2021-06-01 08:32:01,760,"Member",19.3,1,"AM","Rush Hour","08:32:01","06-01","08",1,"Jun",12,"0",9.4475717785046
2021-06-29 08:16:45,233,"Member",25.6,0,"AM","Rush Hour","08:16:45","06-29","08",1,"Jun",3,"0",7.26967423729464
2021-06-15 08:39:26,418,"Member",17.9,0,"AM","Rush Hour","08:39:26","06-15","08",1,"Jun",6,"0",8.31379631650558
2021-06-08 07:54:55,1211,"Member",26.3,0,"AM","Rush Hour","07:54:55","06-08","07",1,"Jun",20,"0",10.3798106591978
2021-06-22 08:25:40,3833,"Member",15.5,1,"AM","Rush Hour","08:25:40","06-22","08",1,"Jun",63,"0",12.8828899682357
2021-06-08 20:25:54,306,"Member",26.3,0,"NonPeak","Non-Rush Hour","20:25:54","06-09","20",1,"Jun",5,"0",7.74892131878436
2021-06-08 21:17:12,530,"Member",26.3,0,"NonPeak","Non-Rush Hour","21:17:12","06-09","21",1,"Jun",8,"0",8.75582998916214
2021-06-15 11:41:19,226,"Member",17.9,0,"NonPeak","Non-Rush Hour","11:41:19","06-15","11",1,"Jun",3,"0",7.21685319209683
2021-06-15 13:35:46,1128,"Member",17.9,0,"NonPeak","Non-Rush Hour","13:35:46","06-15","13",1,"Jun",18,"0",10.2348892458976
2021-06-01 20:45:07,456,"Member",19.3,1,"NonPeak","Non-Rush Hour","20:45:07","06-02","20",1,"Jun",7,"0",8.47458342811622
2021-06-22 17:40:37,3067,"Member",15.5,1,"PM","Rush Hour","17:40:37","06-22","17",1,"Jun",51,"0",12.3755535599165
2021-06-08 15:33:29,917,"Member",26.3,0,"PM","Rush Hour","15:33:29","06-08","15",1,"Jun",15,"0",9.81807074359979
2021-06-15 18:35:53,1767,"Member",17.9,0,"PM","Rush Hour","18:35:53","06-15","18",1,"Jun",29,"0",11.1687556566596
2021-06-22 18:02:02,2229,"Member",15.5,1,"PM","Rush Hour","18:02:02","06-22","18",1,"Jun",37,"0",11.6689066490012
2021-06-22 18:27:52,197,"Member",15.5,1,"PM","Rush Hour","18:27:52","06-22","18",1,"Jun",3,"0",6.98105014201363
2021-07-27 07:09:45,493,"Member",19,1,"AM","Rush Hour","07:09:45","07-27","07",1,"Jul",8,"0",8.61995529104459
2021-07-06 08:04:59,488,"Member",23.1,1,"AM","Rush Hour","08:04:59","07-06","08",1,"Jul",8,"0",8.60089559716624
2021-07-13 08:33:53,1575,"Member",23.2,1,"AM","Rush Hour","08:33:53","07-13","08",1,"Jul",26,"0",10.9253748222983
2021-07-27 09:00:42,226,"Member",19,1,"AM","Rush Hour","09:00:42","07-27","09",1,"Jul",3,"0",7.21685319209683
2021-07-06 06:55:45,349,"Member",23.1,1,"AM","Rush Hour","06:55:45","07-06","06",1,"Jul",5,"0",7.98488894724029
2021-07-13 13:10:25,90,"Member",23.2,1,"NonPeak","Non-Rush Hour","13:10:25","07-13","13",1,"Jul",1,"0",5.69672547021637
2021-07-27 19:37:33,722,"Member",19,1,"NonPeak","Non-Rush Hour","19:37:33","07-27","19",1,"Jul",12,"0",9.34758852140132
2021-07-27 10:54:30,355,"Member",19,1,"NonPeak","Non-Rush Hour","10:54:30","07-27","10",1,"Jul",5,"0",8.01570976052831
2021-07-13 12:08:31,471,"Member",23.2,1,"NonPeak","Non-Rush Hour","12:08:31","07-13","12",1,"Jul",7,"0",8.53475229488063
2021-07-06 12:40:37,1304,"Member",23.1,1,"NonPeak","Non-Rush Hour","12:40:37","07-06","12",1,"Jul",21,"0",10.5319444316505
2021-07-06 18:05:35,143,"Member",23.1,1,"PM","Rush Hour","18:05:35","07-06","18",1,"Jul",2,"0",6.44353153905387
